Main SKU,Product Name,Brand,Manufacturer,Quantity in Pack,HS Code,Cost in INR(PacK),Cost In INR (Unit),Fragile,Weight of Pack (in gms),Weight per Unit(in gms),Length(in mm),Width(in mm),Height(in mm),FSSAI Lic No.,UPC/EAN,HAZMAT Required,Temperature Sensitive,Special Packaging Required
IG-LCTOKNG,Lotte Caramel Lolipops,Lotte,‎Lotte India Corp Ltd,100,17049020,200,2.00,No,690,7,,,,,,No,,
IG-MAGGIEMS,Maggie Masala,Maggi,,48,9103090,240,5.00,No,288,6,,,,,,,,
IG-MCHLLIMLI,Manchali Imli,,,1,20089999,50,50.00,No,100,100,,,,,,,,
IG-MNGOMST,Mango Masti,Leo,,,,,,,,,,,,,,,,
IG-MCSG,Manpasand Chennai Saunf Green,Manpasand,A-one Product,1,17049090,35,35.00,No,100,100,,,,,,,,
IG-MPMS,Manpasand Marwadi Saunf,Manpasand,A-one Product,1,20089999,35,35.00,No,100,100,,,,FSSL 12218026000718,,No,No,
IG-MSGS,Manpasand Saunf Green Special,Manpasand,A-one Product,1,20089999,35,35.00,No,100,100,,,,,,,,
IG-MSBLUBRY,Manpasand-Blue barry,Manpasand,A-one Product,1,17049090,35,35.00,No,100,100,,,,FSSL 12218026000718,,No,Yes,
IG-MCS,Manpasand-Chennai Saunf,Manpasand,A-one Product,1,17049090,30,30.00,No,100,100,,,,12218026000718,,No,Yes,
IG-MFBUBBLE,Marukawa Fusen Bubble Gum,,,,,,,,,,,,,,,,,
IG-KHTRIKHTA,Meeras Khatori Khatta,Meeras,Gauri Shankar Khatri And Sons,30,17049090,30,1.00,No,105,4,,,,,,,,
IG-KHTMKHTA,Meeras Khattam Khatta,Meeras,Gauri Shankar Khatri And Sons,30,17049090,30,1.00,No,120,4,,,,,,No,No,
IG-MCNCC,Mulberry CN Coconut Candy,Mulberry,,,,,,,595,,,,,12218027000355,,,,
IG-10MUNCH,Munch 10 Rs,Nestle,,35,18069010,350,10.00,No,1120,32,,,,,,,,
IG-5MUNCH,Munch 5 Rs,Nestle,,32,18069010,160,5.00,No,333,10,,,,,,,,
IG-NGDEG,Nagad Elaichi Goli,Nagad Narayan,Nagad Narayan Agro Foods,160,,,0.00,,450,3,,,,,,No,Yes,
IG-NKKG,Nagad Kala Khatta Goli,Nagad Narayan,Nagad Narayan Agro Foods,24,,,0.00,No,,0,,,,,,No,,
IG-NGDAG,Nagad Masala Anardana Goli,Nagad Narayan,Nagad Narayan Agro Foods,,,,,,,,,,,,,No,Yes,
IG-NTKTMWP,Natkhat Masala Wheat Puffs,Crax,,1,21069099,5,5.00,No,18,18,,,,,,,,
IG-10MILKYBR,Nestle Milky Bar 10 Rs,Nestle,Nestle India Ltd,27,17049090,270,10.00,No,338,13,,,,,,No,,
IG-20MILKYBR,Nestle Milky Bar 20 Rs,Nestle,Nestle India Ltd,24,17049090,480,20.00,No,588,25,,,,,,No,,
IG-POLO,Nestle-Polo Mint,Nestle,Nestle India Ltd,23,17049090,115,5.00,No,345,15,,,,,,No,Yes,
IG-PNPSNDG,Pan Pasand Gold,,,,,,,,,,,,,,,,,
IG-PNJNHJMLA,Panjon Hajmola Candy,Panjon,,,,,,,,,,,,,,,,
IG-PNJNMIX,Panjon MIx Fruit Candy,Panjon,,,,,,,,,,,,,,,,
